year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
2002,4931648,6392739,111638272,113158035,758314,11.918,698630,10.980,18467153,7407868,11059285,6.546,16.320,21518265,7386892,14131373,6.528,19.016,-3051112,-2.696,32.640,421696,438851,3587986
2003,4992530,6458593,112324189,111938528,728119,11.346,645526,10.059,17607322,5945036,11662286,5.311,15.729,16841798,5642962,11198836,5.041,15.046,765524,0.684,30.091,399028,410695,2521584
2004,5078400,6558383,113967458,113174766,738411,11.356,626861,9.640,17146607,5740205,11406402,5.072,15.151,15598087,5403297,10194790,4.774,13.782,1548520,1.368,27.565,399410,411635,2527748
2005,5168067,6676914,115325937,114723894,775444,11.728,645302,9.760,16987719,6150185,10837534,5.361,14.807,15778849,5030641,10748208,4.385,13.754,1208870,1.054,27.508,418435,429686,2572336
2006,5257680,6839199,119104875,117243849,872425,12.927,691525,10.247,18827295,7040444,11786851,6.005,16.058,15125515,5121614,10003901,4.368,12.901,3701780,3.157,25.802,479161,489562,2788689
2007,5294414,6918586,119696081,119400209,801134,11.665,699750,10.189,18202566,6263049,11939517,5.245,15.245,17613386,5673974,11939412,4.752,14.752,589180,0.493,29.503,445303,455019,2666557
2008,5233440,6875208,119435399,119483760,704952,10.233,731911,10.625,16875066,5525101,11349965,4.624,14.123,17008042,5455519,11552523,4.566,14.235,-132976,-0.111,28.247,479355,489926,2733562
2009,5092637,6737952,113558316,116625656,628218,9.223,774478,11.371,13335117,4909849,8425268,4.210,11.434,19483796,5482029,14001767,4.701,16.706,-6148679,-5.272,22.868,494143,507052,2944481
2010,5019721,6670569,111189088,112354541,631913,9.437,683206,10.203,13339063,4682908,8656155,4.168,11.872,15648166,4558912,11089254,4.058,13.927,-2309103,-2.055,23.745,423578,436123,2312077
2011,4996729,6667493,112782486,111961277,655214,9.836,642407,9.644,14699420,4518780,10180640,4.036,13.129,13044541,4108166,8936375,3.669,11.651,1654879,1.478,23.302,405403,418345,2114443
2012,5043290,6710119,115180620,113948891,664644,9.950,603597,9.036,15662425,4623950,11038475,4.058,13.745,13192044,4296743,8895301,3.771,11.577,2470381,2.168,23.154,363440,375726,2111227
2013,5068514,6747790,117365364,116259096,657208,9.780,601073,8.945,15460525,4813137,10647388,4.140,13.298,13248669,4377583,8871086,3.765,11.396,2211856,1.903,22.792,371170,378869,2136461
2014,5106259,6825551,120000949,118634631,668341,9.858,576966,8.510,15535602,4997623,10537979,4.213,13.095,12798936,4017779,8781157,3.387,10.789,2736666,2.307,21.577,373760,382192,2062560
2015,5151953,6909513,123137424,121541504,681888,9.939,583893,8.511,16225649,5316721,10908928,4.374,13.350,13023484,4109989,8913495,3.382,10.715,3202165,2.635,21.431,376556,386335,2167639
2016,5219520,7037244,125656688,124365060,704200,10.107,564315,8.099,15985697,5194373,10791324,4.177,12.854,13408380,4173593,9234787,3.356,10.781,2577317,2.072,21.563,386147,396356,2277208
2017,5252110,7072108,127308658,126302765,673134,9.552,623388,8.846,16908284,5111061,11797223,4.047,13.387,14902144,4925128,9977016,3.899,11.799,2006140,1.588,23.597,407099,418490,2483530
2018,5285307,7097130,129840639,128567846,646859,9.145,598999,8.469,16336798,5018114,11318684,3.903,12.707,13783136,4309269,9473867,3.352,10.721,2553662,1.986,21.441,432643,448507,2509059
